2026-04-21 09:34:20,011 INFO Found credentials in shared credentials file: ~/.aws/credentials
2026-04-21 09:34:20,032 INFO Enviando ~2000 evt/s pro Kinesis por 1800s (30min)...
2026-04-21 09:34:20,033 INFO   Stream: fraud-detection-poc-transactions
2026-04-21 09:34:20,033 INFO   Threads: 4 (paralelo)
  3,100,115 eventos | 2147 evt/s | fraude: 2.1%
  3,120,358 eventos | 2148 evt/s | fraude: 2.1%
  3,140,623 eventos | 2148 evt/s | fraude: 2.1%
  3,160,852 eventos | 2148 evt/s | fraude: 2.1%
  3,181,145 eventos | 2148 evt/s | fraude: 2.1%
  3,201,419 eventos | 2149 evt/s | fraude: 2.1%
  3,221,695 eventos | 2149 evt/s | fraude: 2.1%
  3,241,922 eventos | 2149 evt/s | fraude: 2.1%
  3,262,258 eventos | 2148 evt/s | fraude: 2.1%
  3,282,521 eventos | 2148 evt/s | fraude: 2.1%
  3,302,826 eventos | 2149 evt/s | fraude: 2.1%
  3,323,119 eventos | 2149 evt/s | fraude: 2.1%
  3,343,423 eventos | 2149 evt/s | fraude: 2.1%
  3,363,646 eventos | 2149 evt/s | fraude: 2.1%
  3,383,914 eventos | 2141 evt/s | fraude: 2.1%
  3,404,166 eventos | 2150 evt/s | fraude: 2.1%
  3,424,424 eventos | 2149 evt/s | fraude: 2.1%
  3,444,636 eventos | 2149 evt/s | fraude: 2.1%
  3,464,950 eventos | 2150 evt/s | fraude: 2.1%
  3,485,191 eventos | 2150 evt/s | fraude: 2.1%
2026-04-21 10:04:19,775 INFO 
=== Resultado ===
2026-04-21 10:04:19,775 INFO   Enviados:  3,864,177
2026-04-21 10:04:19,775 INFO   Falhas:    0
2026-04-21 10:04:19,775 INFO   Tempo:     1799.7s
2026-04-21 10:04:19,775 INFO   Rate:      2147 evt/s
2026-04-21 10:04:19,775 INFO   Ground truth salvo em: data/ground_truth.jsonl
  3,505,443 eventos | 2150 evt/s | fraude: 2.1%
  3,525,681 eventos | 2149 evt/s | fraude: 2.1%
  3,545,983 eventos | 2149 evt/s | fraude: 2.1%
  3,566,284 eventos | 2149 evt/s | fraude: 2.1%
  3,586,530 eventos | 2149 evt/s | fraude: 2.1%
  3,606,805 eventos | 2148 evt/s | fraude: 2.1%
  3,627,028 eventos | 2139 evt/s | fraude: 2.1%
  3,647,312 eventos | 2148 evt/s | fraude: 2.1%
  3,667,580 eventos | 2148 evt/s | fraude: 2.1%
  3,687,856 eventos | 2148 evt/s | fraude: 2.1%
  3,708,122 eventos | 2148 evt/s | fraude: 2.1%
  3,728,346 eventos | 2147 evt/s | fraude: 2.1%
  3,748,595 eventos | 2147 evt/s | fraude: 2.1%
  3,768,906 eventos | 2147 evt/s | fraude: 2.1%
  3,789,199 eventos | 2147 evt/s | fraude: 2.1%
  3,809,498 eventos | 2147 evt/s | fraude: 2.1%
  3,829,794 eventos | 2147 evt/s | fraude: 2.1%
  3,850,002 eventos | 2147 evt/s | fraude: 2.1%

Total: 3,864,177 eventos em 1805.9s (2140 evt/s) | fraude: 2.1%
